shipment_id,source_hub,destination_hub,intermediate_hub,corridor,route_id,route_type,vehicle_type,route_distance,traffic_level,weather_condition,congestion_score,num_stops,hub_load,hub_capacity,shipment_priority,time_of_day,day_of_week,actual_delivery_time,promised_delivery_time,delivery_time_hrs,delay_minutes,sla_breach,shipment_datetime
SHP00012,Delhi,Hyderabad,,General Network,Delhi_Hyderabad,Highway,FTL Truck,681,0.32,Heavy Rain,0.332,3,0.35,4800,Same-Day,Evening Rush,Thursday,17.534,15.564,17.534,541.3,0,2024-02-08 20:00:00
SHP00013,Vizag,Chennai,,General Network,Vizag_Chennai,Highway,FTL Truck,1775,0.93,Storm,0.91,1,0.88,850,Standard,Afternoon,Thursday,86.821,29.852,86.821,3878.0,1,2024-07-18 14:00:00
SHP00014,Patna,Lucknow,,General Network,Patna_Lucknow,Expressway,Carting Vehicle,2486,0.27,Storm,0.31,0,0.37,1100,Economy,Night,Sunday,104.739,46.559,104.739,4190.9,0,2024-09-01 22:00:00
SHP00015,Coimbatore,Kolkata,Lucknow,General Network,Coimbatore_Kolkata,Highway,Carting Vehicle,1068,0.16,Fog,0.196,6,0.25,900,Standard,Night,Friday,31.891,26.618,31.891,845.4,0,2024-08-02 22:00:00
SHP00016,Pune,Nagpur,,General Network,Pune_Nagpur,City Road,Carting Vehicle,377,0.7,Rain,0.596,2,0.44,2800,Economy,Midday,Wednesday,36.868,23.655,36.868,1350.3,0,2024-02-07 12:00:00
SHP00017,Hyderabad,Indore,,General Network,Hyderabad_Indore,Highway,Express Van,1358,0.24,Cloudy,0.492,5,0.87,3800,Same-Day,Morning Rush,Thursday,19.626,22.408,19.626,291.9,0,2024-12-05 09:00:00
SHP00018,Hyderabad,Lucknow,,General Network,Hyderabad_Lucknow,Highway,Express Van,953,0.35,Clear,0.358,2,0.37,3800,Express,Morning Rush,Saturday,13.402,15.471,13.402,182.6,0,2024-01-27 08:00:00
SHP00019,Jaipur,Delhi,,NCR-Rajasthan Corridor,Jaipur_Delhi,Highway,Express Van,1866,0.25,Rain,0.37,5,0.55,2200,Express,Midday,Monday,33.162,29.55,33.162,772.7,0,2024-07-08 10:00:00
SHP00020,Delhi,Surat,,General Network,Delhi_Surat,Rural,Carting Vehicle,2399,0.71,Clear,0.718,2,0.73,4800,Same-Day,Midday,Wednesday,96.199,24.0,96.199,1507.0,1,2024-05-01 11:00:00
SHP00021,Kolkata,Patna,Jaipur,Eastern Corridor,Kolkata_Patna,Highway,Mini Truck,1113,0.82,Cloudy,0.848,6,0.89,3200,Same-Day,Evening Rush,Friday,26.428,22.979,26.428,658.2,1,2024-04-12 20:00:00
SHP00022,Ahmedabad,Mumbai,,Gujarat-Maharashtra Corridor,Ahmedabad_Mumbai,City Road,Express Van,1550,0.88,Heavy Rain,0.916,2,0.97,2600,Same-Day,Morning Rush,Monday,102.532,24.0,102.532,3841.3,1,2024-01-15 09:00:00
SHP00023,Jaipur,Kolkata,Vadodara,General Network,Jaipur_Kolkata,Mixed,FTL Truck,1391,0.64,Rain,0.576,6,0.48,2200,Standard,Evening Rush,Saturday,51.556,32.157,51.556,1702.3,0,2024-12-28 19:00:00
SHP00024,Pune,Indore,Patna,General Network,Pune_Indore,Expressway,Container,1342,,Clear,0.58,5,0.88,2800,Same-Day,Midday,Friday,20.944,24.0,20.944,259.5,0,2024-05-31 10:00:00
SHP00025,Kolkata,Vadodara,Nagpur,General Network,Kolkata_Vadodara,Rural,Express Van,1428,0.36,Heavy Rain,0.432,4,0.54,3200,Standard,Morning Rush,Wednesday,65.408,40.712,65.408,2268.8,0,2024-03-27 08:00:00
SHP00026,Bangalore,Jaipur,,General Network,Bangalore_Jaipur,Rural,Carting Vehicle,407,0.12,Cloudy,0.232,3,0.4,4200,Express,Evening Rush,Sunday,14.763,17.455,14.763,162.2,0,2024-12-22 18:00:00
SHP00027,Ahmedabad,Hyderabad,,General Network,Ahmedabad_Hyderabad,Highway,Carting Vehicle,1985,0.26,Clear,0.544,4,0.97,2600,Economy,Afternoon,Saturday,47.72,45.867,47.72,878.2,0,2024-09-28 16:00:00
SHP00028,Patna,Vizag,,General Network,Patna_Vizag,Expressway,Carting Vehicle,1132,0.77,Fog,0.694,2,0.58,1100,Economy,Afternoon,Thursday,44.552,23.592,44.552,1719.8,0,2024-05-02 14:00:00
SHP00029,Lucknow,Ahmedabad,,General Network,Lucknow_Ahmedabad,Rural,Container,718,0.17,Rain,0.23,3,0.32,2000,Same-Day,Evening Rush,Saturday,26.024,24.0,26.024,435.2,1,2024-08-03 18:00:00
SHP00030,Kochi,Mumbai,Patna,General Network,Kochi_Mumbai,Mixed,FTL Truck,1830,,Heavy Rain,0.746,3,0.44,800,Economy,Evening Rush,Monday,109.87,43.063,109.87,4762.2,0,2024-04-22 21:00:00
SHP00031,Chandigarh,Mumbai,Bhopal,General Network,Chandigarh_Mumbai,Expressway,Carting Vehicle,2268,0.86,Rain,0.892,4,0.94,1000,Economy,Midday,Saturday,87.101,44.096,87.101,3316.1,0,2024-08-24 11:00:00
SHP00032,Surat,Pune,,General Network,Surat_Pune,Expressway,Mini Truck,1118,0.35,Rain,0.594,3,0.96,1800,Same-Day,Midday,Friday,22.032,18.207,22.032,537.4,0,2024-06-28 13:00:00
SHP00033,Delhi,Mumbai,,Western Corridor,Delhi_Mumbai,City Road,Container,584,0.24,Cloudy,0.264,5,0.3,4800,Standard,Midday,Wednesday,28.439,28.943,28.439,528.5,0,2024-02-28 11:00:00
SHP00034,Chennai,Vadodara,Patna,General Network,Chennai_Vadodara,Highway,Mini Truck,1080,0.95,Rain,0.714,4,0.36,3500,Economy,Morning Rush,Saturday,43.608,23.237,43.608,1716.5,0,2024-03-02 07:00:00
SHP00035,Nagpur,Bangalore,,General Network,Nagpur_Bangalore,Mixed,FTL Truck,1878,0.86,Storm,0.86,0,0.86,1600,Same-Day,Afternoon,Friday,99.858,24.0,99.858,4113.5,1,2024-11-29 14:00:00
SHP00036,Vizag,Chandigarh,Surat,General Network,Vizag_Chandigarh,Expressway,Express Van,1250,0.87,Heavy Rain,0.866,0,,850,Same-Day,Afternoon,Saturday,30.21,18.315,30.21,1126.1,1,2024-07-13 16:00:00
SHP00037,Kolkata,Coimbatore,,General Network,Kolkata_Coimbatore,City Road,Express Van,2356,0.35,Rain,0.482,2,0.68,3200,Same-Day,Evening Rush,Friday,90.356,24.0,90.356,1909.3,1,2024-05-03 21:00:00
SHP00038,Chandigarh,Patna,Coimbatore,General Network,Chandigarh_Patna,Highway,Carting Vehicle,2485,0.46,Clear,0.432,5,0.39,1000,Same-Day,Afternoon,Tuesday,50.577,24.0,50.577,549.6,1,2024-10-08 16:00:00
SHP00039,Jaipur,Surat,,General Network,Jaipur_Surat,Rural,Carting Vehicle,850,0.38,Cloudy,0.544,6,0.79,2200,Standard,Morning Rush,Friday,38.362,35.839,38.362,790.6,0,2024-05-24 09:00:00
SHP00040,Lucknow,Ahmedabad,,General Network,Lucknow_Ahmedabad,Rural,FTL Truck,338,0.74,Cloudy,0.564,0,0.3,2000,Same-Day,Morning Rush,Sunday,10.802,13.316,10.802,197.5,0,2024-09-08 09:00:00
SHP00041,Kochi,Lucknow,Ahmedabad,General Network,Kochi_Lucknow,Expressway,Express Van,2043,0.27,Heavy Rain,0.258,6,0.24,800,Economy,Afternoon,Sunday,49.117,25.525,49.117,1825.0,0,2024-03-17 15:00:00
SHP00042,Chennai,Kochi,,General Network,Chennai_Kochi,Expressway,Container,1855,0.44,Fog,0.636,2,0.93,3500,Express,Midday,Tuesday,44.312,34.704,44.312,1280.4,0,2024-02-20 12:00:00
SHP00043,Jaipur,Bangalore,,General Network,Jaipur_Bangalore,City Road,Container,2022,0.17,Cloudy,0.182,3,0.2,2200,Express,Afternoon,Monday,78.802,48.0,78.802,650.1,1,2024-04-29 14:00:00
SHP00044,Kochi,Pune,Surat,General Network,Kochi_Pune,Expressway,Carting Vehicle,334,0.92,Clear,0.896,0,0.86,800,Express,Evening Rush,Monday,9.011,10.391,9.011,259.4,0,2024-05-27 20:00:00
SHP00045,Indore,Jaipur,,General Network,Indore_Jaipur,Mixed,Mini Truck,1438,0.17,Fog,0.194,3,0.23,1400,Economy,Afternoon,Thursday,52.338,37.919,52.338,1542.5,0,2024-01-11 14:00:00
SHP00046,Kolkata,Coimbatore,Vizag,General Network,Kolkata_Coimbatore,Mixed,Express Van,2099,0.26,Storm,0.424,5,0.67,3200,Economy,Midday,Friday,92.725,41.831,92.725,3738.3,0,2024-02-23 11:00:00
SHP00047,Lucknow,Bhopal,,General Network,Lucknow_Bhopal,Mixed,FTL Truck,1767,0.38,Clear,0.412,6,0.46,2000,Economy,Afternoon,Sunday,46.154,39.502,46.154,1002.3,0,2024-09-22 17:00:00
SHP00048,Chandigarh,Patna,Mumbai,General Network,Chandigarh_Patna,Highway,Container,2072,0.22,Cloudy,0.304,5,0.43,1000,Same-Day,Midday,Sunday,34.789,24.0,34.789,259.1,1,2024-12-29 11:00:00
SHP00049,Vizag,Bhopal,Kochi,General Network,Vizag_Bhopal,Highway,Mini Truck,2139,0.95,Cloudy,0.858,1,0.72,850,Standard,Midday,Wednesday,58.851,40.596,58.851,1748.6,0,2024-10-09 10:00:00
SHP00050,Hyderabad,Bangalore,Vadodara,General Network,Hyderabad_Bangalore,Rural,Container,1339,0.34,Heavy Rain,0.284,5,,3800,Same-Day,Evening Rush,Friday,69.506,24.0,69.506,2070.0,1,2024-08-16 21:00:00
SHP00051,Vizag,Indore,,General Network,Vizag_Indore,Expressway,Carting Vehicle,1764,0.61,Rain,0.522,6,0.39,850,Express,Midday,Friday,49.853,37.139,49.853,1505.7,1,2024-11-29 10:00:00
SHP00052,Delhi,Kolkata,,Northern-Eastern Corridor,Delhi_Kolkata,Mixed,FTL Truck,1951,0.89,Fog,0.754,4,0.55,4800,Same-Day,Morning Rush,Wednesday,72.993,24.0,72.993,2428.6,1,2024-03-20 08:00:00
SHP00053,Jaipur,Nagpur,Surat,General Network,Jaipur_Nagpur,Mixed,FTL Truck,2289,0.87,Storm,0.874,6,0.88,2200,Economy,Morning Rush,Tuesday,163.6,52.759,163.6,7527.0,1,2024-11-12 08:00:00
SHP00054,Ahmedabad,Bangalore,,General Network,Ahmedabad_Bangalore,Expressway,Mini Truck,288,0.25,Clear,0.326,0,0.44,2600,Standard,Midday,Friday,4.166,6.878,4.166,47.8,0,2024-03-15 13:00:00
SHP00055,Kochi,Kolkata,,General Network,Kochi_Kolkata,City Road,Container,2155,0.88,Cloudy,0.808,1,0.7,800,Standard,Afternoon,Monday,136.686,72.0,136.686,3854.9,1,2024-08-26 15:00:00
SHP00056,Kolkata,Bangalore,,General Network,Kolkata_Bangalore,Expressway,Mini Truck,919,0.72,Rain,0.66,2,0.57,3200,Same-Day,Afternoon,Tuesday,21.646,16.499,21.646,653.9,0,2024-07-02 15:00:00
SHP00057,Lucknow,Mumbai,,General Network,Lucknow_Mumbai,Expressway,Container,2132,0.88,Rain,0.856,0,0.82,2000,Standard,Midday,Wednesday,63.652,36.084,63.652,2235.0,0,2024-05-08 10:00:00
SHP00058,Delhi,Surat,,General Network,Delhi_Surat,Expressway,Carting Vehicle,1792,0.18,Clear,0.284,5,0.44,4800,Same-Day,Night,Saturday,26.124,24.0,26.124,58.4,1,2024-07-06 22:00:00
SHP00059,Jaipur,Kolkata,,General Network,Jaipur_Kolkata,Rural,Express Van,670,0.82,Heavy Rain,0.72,0,0.57,2200,Same-Day,Morning Rush,Saturday,34.279,21.049,34.279,1279.9,1,2024-07-06 08:00:00
SHP00060,Mumbai,Lucknow,,General Network,Mumbai_Lucknow,Mixed,Express Van,1680,0.71,Clear,0.722,4,0.74,5000,Economy,Afternoon,Saturday,45.039,33.587,45.039,1241.4,0,2024-01-13 16:00:00
SHP00061,Ahmedabad,Bangalore,,General Network,Ahmedabad_Bangalore,Expressway,Mini Truck,1357,0.21,Storm,0.222,0,0.24,2600,Same-Day,Evening Rush,Sunday,34.553,23.117,34.553,1120.9,1,2024-12-22 19:00:00
SHP00062,Hyderabad,Patna,Lucknow,General Network,Hyderabad_Patna,Highway,Express Van,1916,0.13,Heavy Rain,0.278,3,0.5,3800,Economy,Afternoon,Saturday,47.952,30.817,47.952,1627.5,0,2024-10-05 17:00:00
SHP00063,Pune,Chennai,,General Network,Pune_Chennai,Expressway,Container,1085,0.97,Clear,0.678,2,0.24,2800,Express,Afternoon,Monday,23.179,20.813,23.179,584.5,0,2024-04-29 16:00:00
SHP00064,Vadodara,Mumbai,Bangalore,General Network,Vadodara_Mumbai,Rural,Container,193,0.33,Cloudy,0.334,5,0.34,750,Express,Morning Rush,Friday,7.581,8.511,7.581,152.1,0,2024-06-14 06:00:00
SHP00065,Hyderabad,Patna,,General Network,Hyderabad_Patna,Mixed,Mini Truck,554,0.5,Clear,0.496,4,0.49,3800,Standard,Afternoon,Monday,16.981,17.805,16.981,403.3,0,2024-09-23 15:00:00
SHP00066,Mumbai,Bangalore,Kochi,Western-Southern Corridor,Mumbai_Bangalore,Expressway,FTL Truck,430,,Heavy Rain,0.696,0,0.93,5000,Economy,Afternoon,Wednesday,13.734,7.984,13.734,552.5,0,2024-11-20 16:00:00
SHP00067,Lucknow,Chandigarh,,General Network,Lucknow_Chandigarh,Mixed,FTL Truck,2351,0.81,Fog,0.602,5,0.29,2000,Economy,Afternoon,Sunday,110.05,53.533,110.05,4252.0,0,2024-02-18 16:00:00
SHP00068,Jaipur,Indore,,General Network,Jaipur_Indore,City Road,FTL Truck,498,0.18,Storm,0.216,3,0.27,2200,Economy,Afternoon,Monday,42.013,21.843,42.013,1667.1,0,2024-10-14 16:00:00
SHP00069,Bhopal,Nagpur,,General Network,Bhopal_Nagpur,Expressway,Express Van,2171,0.64,Storm,0.576,4,0.48,1200,Standard,Afternoon,Wednesday,67.719,29.058,67.719,2870.8,0,2024-02-28 14:00:00
SHP00070,Bhopal,Kochi,Hyderabad,General Network,Bhopal_Kochi,Mixed,Container,209,0.94,Fog,0.908,2,0.86,1200,Standard,Morning Rush,Friday,12.191,10.014,12.191,485.6,0,2024-06-28 06:00:00
SHP00071,Kochi,Indore,Delhi,General Network,Kochi_Indore,Highway,FTL Truck,1959,0.77,Cloudy,0.61,3,0.37,800,Standard,Midday,Saturday,44.249,35.219,44.249,1185.7,0,2024-01-27 10:00:00
SHP00072,Bangalore,Lucknow,,General Network,Bangalore_Lucknow,Expressway,Mini Truck,2185,0.65,Storm,0.602,1,0.53,4200,Economy,Evening Rush,Wednesday,96.978,36.935,96.978,4285.3,0,2024-10-30 21:00:00
SHP00073,Lucknow,Delhi,,UP Corridor,Lucknow_Delhi,City Road,FTL Truck,658,0.28,Heavy Rain,0.552,6,0.96,2000,Standard,Midday,Sunday,43.418,25.957,43.418,1477.1,0,2024-09-29 13:00:00
SHP00074,Nagpur,Bangalore,,General Network,Nagpur_Bangalore,Expressway,Mini Truck,1398,0.12,Storm,0.448,6,0.94,1600,Standard,Morning Rush,Tuesday,42.253,24.817,42.253,1554.1,0,2024-05-28 09:00:00
SHP00075,Surat,Kolkata,,General Network,Surat_Kolkata,Mixed,FTL Truck,1753,0.49,Heavy Rain,0.406,3,0.28,1800,Same-Day,Night,Friday,63.273,24.0,63.273,2043.4,1,2024-02-09 22:00:00
SHP00076,Coimbatore,Vizag,,General Network,Coimbatore_Vizag,City Road,Carting Vehicle,828,0.31,Rain,0.314,1,0.32,900,Same-Day,Evening Rush,Sunday,47.281,24.0,47.281,944.3,1,2024-11-17 21:00:00
SHP00077,Kochi,Vadodara,Bangalore,General Network,Kochi_Vadodara,Expressway,Express Van,1337,0.24,Storm,0.244,3,0.25,800,Same-Day,Afternoon,Sunday,28.923,17.06,28.923,1001.1,1,2024-07-07 15:00:00
SHP00078,Vadodara,Coimbatore,,General Network,Vadodara_Coimbatore,Expressway,Mini Truck,1434,0.92,Heavy Rain,0.816,1,0.66,750,Standard,Afternoon,Thursday,53.331,23.051,53.331,2193.6,0,2024-02-22 16:00:00
SHP00079,Bangalore,Vizag,Hyderabad,General Network,Bangalore_Vizag,City Road,Mini Truck,753,0.99,Clear,0.842,4,0.62,4200,Express,Afternoon,Tuesday,40.914,34.468,40.914,1020.6,0,2024-11-19 16:00:00
SHP00080,Vizag,Indore,,General Network,Vizag_Indore,Rural,Express Van,1375,,Rain,0.394,2,0.73,850,Express,Evening Rush,Sunday,40.384,35.88,40.384,828.8,0,2024-10-13 18:00:00
SHP00081,Surat,Hyderabad,,General Network,Surat_Hyderabad,Mixed,Container,978,0.43,Clear,0.454,1,,1800,Economy,Night,Wednesday,29.857,26.238,29.857,640.9,0,2024-02-21 22:00:00
SHP00082,Coimbatore,Delhi,,General Network,Coimbatore_Delhi,Rural,Container,786,0.44,Fog,0.396,6,0.33,900,Express,Afternoon,Thursday,40.065,30.592,40.065,1170.9,0,2024-08-15 15:00:00
SHP00083,Patna,Ahmedabad,,General Network,Patna_Ahmedabad,Mixed,Mini Truck,2444,0.91,Cloudy,0.69,5,0.36,1100,Same-Day,Midday,Friday,74.828,24.0,74.828,1774.1,1,2024-04-12 10:00:00
SHP00084,Delhi,Coimbatore,,General Network,Delhi_Coimbatore,Rural,Container,753,0.87,Fog,0.694,6,0.43,4800,Standard,Midday,Friday,52.775,29.916,52.775,1985.3,0,2024-02-16 13:00:00
SHP00085,Nagpur,Mumbai,Vizag,General Network,Nagpur_Mumbai,Expressway,Container,1629,,Clear,0.468,0,0.51,1600,Economy,Morning Rush,Monday,31.508,30.391,31.508,680.1,0,2024-03-11 07:00:00
SHP00086,Hyderabad,Coimbatore,Patna,General Network,Hyderabad_Coimbatore,Expressway,FTL Truck,2365,0.12,Fog,0.22,1,0.37,3800,Standard,Morning Rush,Monday,41.143,34.516,41.143,974.9,0,2024-06-03 09:00:00
SHP00087,Vadodara,Patna,,General Network,Vadodara_Patna,Highway,Container,1079,0.58,Clear,0.632,4,0.71,750,Economy,Morning Rush,Sunday,27.289,22.377,27.289,685.3,0,2024-12-08 08:00:00
SHP00088,Nagpur,Bangalore,,General Network,Nagpur_Bangalore,Mixed,Mini Truck,1625,0.89,Fog,0.626,3,0.23,1600,Standard,Morning Rush,Friday,79.059,40.391,79.059,2938.0,1,2024-05-03 09:00:00
SHP00089,Surat,Hyderabad,,General Network,Surat_Hyderabad,Highway,Carting Vehicle,2080,0.85,,0.81,5,0.75,1800,Same-Day,Morning Rush,Saturday,70.903,24.0,70.903,2174.2,1,2024-04-13 07:00:00
SHP00090,Delhi,Nagpur,Bhopal,General Network,Delhi_Nagpur,Rural,Container,880,0.53,Fog,0.41,5,0.23,4800,Economy,Afternoon,Tuesday,56.166,34.372,56.166,1989.6,0,2024-06-18 14:00:00
SHP00091,Bhopal,Indore,Bangalore,General Network,Bhopal_Indore,Expressway,Carting Vehicle,2223,0.55,Heavy Rain,0.57,6,0.6,1200,Same-Day,Afternoon,Sunday,72.477,24.0,72.477,2476.6,1,2024-10-06 15:00:00
SHP00092,Surat,Lucknow,,General Network,Surat_Lucknow,Rural,Carting Vehicle,1563,0.72,Heavy Rain,0.624,0,0.48,1800,Economy,Morning Rush,Tuesday,147.706,65.125,147.706,6083.7,1,2024-01-30 08:00:00
SHP00093,Indore,Nagpur,,General Network,Indore_Nagpur,Mixed,FTL Truck,1876,0.23,Storm,0.414,6,0.69,1400,Express,Midday,Wednesday,76.689,45.445,76.689,2725.3,1,2024-01-17 10:00:00
SHP00094,Nagpur,Indore,Jaipur,General Network,Nagpur_Indore,Expressway,Container,1109,0.43,Clear,0.438,2,0.45,1600,Express,Morning Rush,Monday,17.481,20.925,17.481,224.8,0,2024-10-14 09:00:00
SHP00095,Patna,Pune,,General Network,Patna_Pune,Mixed,Carting Vehicle,815,0.21,Rain,0.478,3,0.88,1100,Economy,Morning Rush,Sunday,36.683,27.216,36.683,1114.3,0,2024-12-29 08:00:00
SHP00096,Lucknow,Surat,,General Network,Lucknow_Surat,City Road,Express Van,663,0.56,Storm,0.456,1,0.3,2000,Express,Evening Rush,Sunday,48.692,24.63,48.692,1933.2,1,2024-07-07 20:00:00
SHP00097,Vizag,Hyderabad,,General Network,Vizag_Hyderabad,Mixed,Express Van,2259,0.46,Clear,0.584,3,0.77,850,Standard,Evening Rush,Sunday,47.817,46.13,47.817,904.7,0,2024-08-18 20:00:00
SHP00098,Nagpur,Hyderabad,Kochi,General Network,Nagpur_Hyderabad,Mixed,Carting Vehicle,621,0.49,Storm,0.666,0,0.93,1600,Express,Midday,Sunday,39.858,20.231,39.858,1563.5,0,2024-12-29 13:00:00
SHP00099,Lucknow,Bangalore,,General Network,Lucknow_Bangalore,Rural,Carting Vehicle,2148,0.66,Cloudy,0.672,0,0.69,2000,Same-Day,Morning Rush,Friday,91.873,24.0,91.873,1693.7,1,2024-06-21 07:00:00
SHP00100,Mumbai,Chennai,Patna,General Network,Mumbai_Chennai,Highway,Carting Vehicle,235,0.79,,0.686,5,0.53,5000,Same-Day,Evening Rush,Monday,15.21,8.659,15.21,677.6,0,2024-06-03 21:00:00
SHP00101,Lucknow,Chandigarh,,General Network,Lucknow_Chandigarh,Highway,Carting Vehicle,1511,0.5,Storm,0.536,1,0.59,2000,Standard,Midday,Tuesday,78.235,35.12,78.235,3183.1,1,2024-07-23 10:00:00
SHP00102,Coimbatore,Kochi,,General Network,Coimbatore_Kochi,Highway,Mini Truck,479,0.21,Rain,0.35,1,0.56,900,Express,Midday,Tuesday,11.6,12.11,11.6,296.8,0,2024-05-07 11:00:00
SHP00103,Kochi,Surat,,General Network,Kochi_Surat,City Road,Container,179,0.52,Cloudy,0.672,3,0.9,800,Economy,Afternoon,Friday,13.056,10.233,13.056,422.4,0,2024-01-26 15:00:00
SHP00104,Chandigarh,Lucknow,Kochi,General Network,Chandigarh_Lucknow,Mixed,Mini Truck,1754,0.22,Clear,0.296,2,0.41,1000,Standard,Afternoon,Thursday,38.808,45.473,38.808,379.6,0,2024-07-04 15:00:00
SHP00105,Patna,Kochi,Surat,General Network,Patna_Kochi,Rural,Carting Vehicle,1503,0.98,Fog,0.796,6,0.52,1100,Standard,Morning Rush,Wednesday,122.826,60.894,122.826,4697.6,1,2024-01-24 07:00:00
SHP00106,Chandigarh,Vizag,,General Network,Chandigarh_Vizag,Expressway,Express Van,1342,0.94,Cloudy,0.744,3,0.45,1000,Express,Afternoon,Saturday,23.62,19.098,23.62,680.1,0,2024-12-28 15:00:00
SHP00107,Mumbai,Indore,Patna,General Network,Mumbai_Indore,Rural,Mini Truck,227,,Storm,0.714,5,0.84,5000,Standard,Evening Rush,Saturday,21.596,10.597,21.596,959.5,0,2024-01-27 21:00:00
SHP00108,Hyderabad,Jaipur,,General Network,Hyderabad_Jaipur,Highway,Carting Vehicle,1784,0.12,Fog,0.252,1,,3800,Standard,Midday,Thursday,49.27,43.335,49.27,1172.2,0,2024-02-01 10:00:00
SHP00109,Vizag,Surat,Ahmedabad,General Network,Vizag_Surat,Expressway,Express Van,1516,0.96,Fog,0.804,4,0.57,850,Economy,Evening Rush,Friday,43.088,21.813,43.088,1752.7,0,2024-11-08 21:00:00
SHP00110,Jaipur,Kochi,Vadodara,General Network,Jaipur_Kochi,Rural,Express Van,1408,0.73,Cloudy,0.738,3,0.75,2200,Same-Day,Afternoon,Monday,41.861,24.0,41.861,879.2,1,2024-05-20 15:00:00
SHP00111,Indore,Bhopal,Ahmedabad,General Network,Indore_Bhopal,Rural,FTL Truck,1907,0.36,Cloudy,0.524,2,0.77,1400,Same-Day,Midday,Sunday,52.545,24.0,52.545,610.0,1,2024-05-19 10:00:00
SHP00112,Ahmedabad,Delhi,,General Network,Ahmedabad_Delhi,Mixed,FTL Truck,499,0.19,Cloudy,0.298,3,0.46,2600,Express,Evening Rush,Saturday,10.573,15.528,10.573,135.4,0,2024-07-27 21:00:00
SHP00113,Pune,Surat,,General Network,Pune_Surat,Rural,FTL Truck,243,0.69,Rain,0.57,5,0.39,2800,Standard,Midday,Tuesday,13.956,11.365,13.956,513.4,0,2024-09-10 11:00:00
SHP00114,Lucknow,Delhi,,UP Corridor,Lucknow_Delhi,Highway,Express Van,2258,0.36,Rain,0.612,4,0.99,2000,Standard,Midday,Sunday,46.719,34.923,46.719,1330.5,0,2024-05-19 12:00:00
SHP00115,Surat,Kolkata,,General Network,Surat_Kolkata,Expressway,Carting Vehicle,2417,0.11,Storm,0.254,2,0.47,1800,Same-Day,Evening Rush,Wednesday,70.609,24.0,70.609,2201.2,1,2024-02-14 18:00:00
SHP00116,Kolkata,Hyderabad,,General Network,Kolkata_Hyderabad,Expressway,FTL Truck,1194,0.33,Rain,0.354,6,0.39,3200,Express,Afternoon,Saturday,22.344,17.385,22.344,586.5,0,2024-11-30 17:00:00
SHP00117,Delhi,Hyderabad,,General Network,Delhi_Hyderabad,Expressway,Mini Truck,1360,0.72,Rain,0.808,5,0.94,4800,Express,Midday,Sunday,35.458,25.508,35.458,1173.1,0,2024-09-01 10:00:00
